Source des données,N° page,Type de centre,Domaine, Acte, catégorie d’actes, Finalité, Base légale, Dossier, Coût, Quittance/Reçu/Timbre, Délai de délivrance, Validité,coût minimum ,coût maximum,Précision coût 
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,21,[CHU YO],Santé,Acte d’imagerie : RX ABDOMEN /Contenu Utérin/F,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,7000,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,21,[CHU YO],Santé,Acte d’imagerie : RX ABDOMEN /Contenu Utérin /P,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,9000,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,21,[CHU YO],Santé,Acte d’imagerie : RX RACHIS ,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,4000,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,3500,8000,Selon la localisation  
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,21,[CHU YO],Santé,Acte d’imagerie : RX MEMBRES SUPERIEURS / F,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,2500,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,21,[CHU YO],Santé,Acte d’imagerie : RX MEMBRES SUPERIEURS /P,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,5000,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,21,[CHU YO],Santé,Acte d’imagerie : RX MEMBRES INFERIEURS /F,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,3500,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,21,[CHU YO],Santé,Acte d’imagerie : RX MEMBRES INFERIEURS /P,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,7000,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,22,[CHU YO],Santé,Acte d’imagerie : RX CRANE,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,3 500,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,3 500,7 000,Selon la localisation
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,22,[CHU YO],Santé,"Acte d’imagerie : Examens spécifiques (Lavement baryté, TOGD, UIV, UCR)  /HSG/UIV + clichés",EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,7000,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,22,[CHU YO],Santé,"Acte d’imagerie : Examens spécifiques (Lavement baryté, TOGD, UIV, UCR)  /CTOGD",EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,14000,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,22,[CHU YO],Santé,Actes d’imagerie : Echographie /Abdo/pelvienne ,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,10000,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,22,[CHU YO],Santé,Actes d’imagerie : Echographie /Abdominale /Hospitalisé,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,3750,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,22,[CHU YO],Santé,Actes d’imagerie : Echographie /Abdominale /Ambulatoire,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,7500,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,22,[CHU YO],Santé,"Actes d’imagerie : Echographie /Autres régions(thyroïde,partiemolle)",EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,7500,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,22,[CHU YO],Santé,Actes d’imagerie : Echographie / Cardiaque,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,15000,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,22,[CHU YO],Santé,Actes d’imagerie : Echographie /Pelvienne /Hospitalisé,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,3750,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,22,[CHU YO],Santé,Actes d’imagerie : Echographie /Pelvienne /Ambulatoire,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,7500,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,22,[CHU YO],Santé,Actes d’imagerie : Echographie /Mammaire,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,7500,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,22,[CHU YO],Santé,Actes d’imagerie : Echographie /Rénale et voies urinaires,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,76000,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,22,[CHU YO],Santé,Actes d’imagerie : Echographie /Obstétricale ,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,7600,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,22,[CHU YO],Santé,Actes d’imagerie : Echographie /Echographie Transfontanellaire,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,6800,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,23,[CHU YO],Santé,Actes d’imagerie : Divers et autres /Recherche difrice anale,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,4500,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,23,[CHU YO],Santé,Actes d’imagerie : Divers et autres / 1 Scanner,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,45200,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,23,[CHU YO],Santé,Actes d’imagerie : Divers et autres / 2 Scanner,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,60000,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,23,[CHU YO],Santé,Actes d’imagerie : Divers et autres / Cervico dorso lombaire,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,90400,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,23,[CHU YO],Santé,Actes d’imagerie : Divers et autres /ECG,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,15000,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,23,[CHU YO],Santé,Actes d’imagerie : Divers et autres /EEG,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,20000,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
